date,ticker,price,,,,
2021-10-04,TS,1324.15,,,,
2021-10-01,TS,1297.85,,,,
2021-09-30,TS,1288.9,,,,
2021-09-29,TS,1295.55,,,,
2021-09-28,TS,1280.95,,,,
2021-09-27,TS,1270.5,,,,
2021-09-24,TS,1272.1,,,,
2021-09-23,TS,1318.7,,,,
2021-09-22,TS,1305.8,,,,
2021-09-21,TS,1292.2,,,,
2021-09-20,TS,1253.1,,,,
2021-09-17,TS,1385.9,,,,
2021-09-16,TS,1436.75,,,,
2021-09-15,TS,1455.1,,,,
2021-09-14,TS,1452.3,,,,
2021-09-13,TS,1463.45,,,,
2021-09-09,TS,1447,,,,
2021-09-08,TS,1429.85,,,,
2021-09-07,TS,1428.7,,,,
2021-09-06,TS,1437,,,,
2021-09-03,TS,1443.65,,,,
2021-09-02,TS,1425.1,,,,
2021-09-01,TS,1411.2,,,,
2021-08-31,TS,1450.25,,,,
2021-08-30,TS,1440.6,,,,
2021-08-27,TS,1384.15,,,,
2021-08-26,TS,1375.05,,,,
2021-08-25,TS,1390.2,,,,
2021-08-24,TS,1404.65,,,,
2021-08-23,TS,1358.65,,,,
2021-08-20,TS,1375.6,,,,
2021-08-18,TS,1500.45,,,,
2021-08-17,TS,1503.7,,,,
2021-08-16,TS,1519.4,,,,
2021-08-13,TS,1461.65,,,,
2021-08-12,TS,1435.35,,,,
2021-08-11,TS,1426.2,,,,
2021-08-10,TS,1373.6,,,,
2021-08-09,TS,1412.2,,,,
2021-08-06,TS,1428.85,,,,
2021-08-05,TS,1446.6,,,,
2021-08-04,TS,1416.2,,,,
2021-08-03,TS,1407.2,,,,
2021-08-02,TS,1410.05,,,,
2021-07-30,TS,1434.3,,,,
2021-07-29,TS,1458.6,,,,
2021-07-28,TS,1365,,,,
2021-07-27,TS,1330.65,,,,
2021-07-26,TS,1297.95,,,,
2021-07-23,TS,1281.4,,,,
2021-07-22,TS,1273,,,,
2021-07-20,TS,1233.35,,,,
2021-07-19,TS,1266.4,,,,
2021-07-16,TS,1278.45,,,,
2021-07-15,TS,1255.95,,,,
2021-07-14,TS,1244.7,,,,
2021-07-13,TS,1228.75,,,,
2021-07-12,TS,1226.95,,,,
2021-07-09,TS,1239.35,,,,
2021-07-08,TS,1189.75,,,,
2021-07-07,TS,1218.65,,,,
2021-07-06,TS,1167.25,,,,
2021-07-05,TS,1156.85,,,,
2021-10-04,BF,7695.05,,,,
2021-10-01,BF,7522.75,,,,
2021-09-30,BF,7668.1,,,,
2021-09-29,BF,7515.4,,,,
2021-09-28,BF,7543.3,,,,
2021-09-27,BF,7795.45,,,,
2021-09-24,BF,7793.4,,,,
2021-09-23,BF,7899.05,,,,
2021-09-22,BF,7793.65,,,,
2021-09-21,BF,7813.85,,,,
2021-09-20,BF,7442.45,,,,
2021-09-17,BF,7428.8,,,,
2021-09-16,BF,7411.5,,,,
2021-09-15,BF,7414.15,,,,
2021-09-14,BF,7417.55,,,,
2021-09-13,BF,7445.55,,,,
2021-09-09,BF,7430.65,,,,
2021-09-08,BF,7463.2,,,,
2021-09-07,BF,7457.3,,,,
2021-09-06,BF,7506.35,,,,
2021-09-03,BF,7523.4,,,,
2021-09-02,BF,7498.45,,,,
2021-09-01,BF,7519.6,,,,
2021-08-31,BF,7524.5,,,,
2021-08-30,BF,7165.5,,,,
2021-08-27,BF,6966.6,,,,
2021-08-26,BF,6931.95,,,,
2021-08-25,BF,6944.95,,,,
2021-08-24,BF,6980.1,,,,
2021-08-23,BF,6752.2,,,,
2021-08-20,BF,6661.1,,,,
2021-08-18,BF,6544.1,,,,
2021-08-17,BF,6410.1,,,,
2021-08-16,BF,6377.15,,,,
2021-08-13,BF,6156.55,,,,
2021-08-12,BF,6199.5,,,,
2021-08-11,BF,6167.8,,,,
2021-08-10,BF,6170.1,,,,
2021-08-09,BF,6193.15,,,,
2021-08-06,BF,6224.3,,,,
2021-08-05,BF,6248.25,,,,
2021-08-04,BF,6359.15,,,,
2021-08-03,BF,6331.9,,,,
2021-08-02,BF,6200.5,,,,
2021-07-30,BF,6228.1,,,,
2021-07-29,BF,6400.1,,,,
2021-07-28,BF,6262,,,,
2021-07-27,BF,6231.45,,,,
2021-07-26,BF,6162.45,,,,
2021-07-23,BF,6180.9,,,,
2021-07-22,BF,6195.55,,,,
2021-07-20,BF,5941.85,,,,
2021-07-19,BF,6015.4,,,,
2021-07-16,BF,6125.45,,,,
2021-07-15,BF,6129.7,,,,
2021-07-14,BF,6133.9,,,,
2021-07-13,BF,6154.3,,,,
2021-07-12,BF,6149.55,,,,
2021-07-09,BF,6136.15,,,,
2021-07-08,BF,6117.8,,,,
2021-07-07,BF,6198.6,,,,
2021-07-06,BF,6202.4,,,,
2021-07-05,BF,6072.7,,,,
2021-10-04,SF,832,,,,
2021-10-01,SF,826.6,,,,
2021-09-30,SF,818.25,,,,
2021-09-29,SF,811.3,,,,
2021-09-28,SF,775.1,,,,
2021-09-27,SF,763.05,,,,
2021-09-24,SF,770.45,,,,
2021-09-23,SF,769.85,,,,
2021-09-22,SF,770.1,,,,
2021-09-21,SF,764.5,,,,
2021-09-20,SF,756.5,,,,
2021-09-17,SF,769.9,,,,
2021-09-16,SF,781.05,,,,
2021-09-15,SF,780.65,,,,
2021-09-14,SF,781.4,,,,
2021-09-13,SF,780.3,,,,
2021-09-09,SF,776.3,,,,
2021-09-08,SF,777.45,,,,
2021-09-07,SF,769.9,,,,
2021-09-06,SF,784.25,,,,
2021-09-03,SF,789.4,,,,
2021-09-02,SF,789.95,,,,
2021-09-01,SF,788.5,,,,
2021-08-31,SF,794.05,,,,
2021-08-30,SF,787.2,,,,
2021-08-27,SF,771.8,,,,
2021-08-26,SF,760.55,,,,
2021-08-25,SF,769.05,,,,
2021-08-24,SF,771.35,,,,
2021-08-23,SF,759.35,,,,
2021-08-20,SF,761.15,,,,
2021-08-18,SF,782.9,,,,
2021-08-17,SF,784.15,,,,
2021-08-16,SF,780.8,,,,
2021-08-13,SF,778.3,,,,
2021-08-12,SF,778.65,,,,
2021-08-11,SF,779.55,,,,
2021-08-10,SF,793.35,,,,
2021-08-09,SF,788.8,,,,
2021-08-06,SF,785.2,,,,
2021-08-05,SF,786.15,,,,
2021-08-04,SF,785.75,,,,
2021-08-03,SF,794.8,,,,
2021-08-02,SF,775,,,,
2021-07-30,SF,773.95,,,,
2021-07-29,SF,703,,,,
2021-07-28,SF,687.8,,,,
2021-07-27,SF,688.3,,,,
2021-07-26,SF,703.4,,,,
2021-07-23,SF,694,,,,
2021-07-22,SF,687.3,,,,
2021-07-20,SF,676.45,,,,
2021-07-19,SF,689.25,,,,
2021-07-16,SF,688.6,,,,
2021-07-15,SF,683,,,,
2021-07-14,SF,685.95,,,,
2021-07-13,SF,683,,,,
2021-07-12,SF,668.55,,,,
2021-07-09,SF,667.9,,,,
2021-07-08,SF,666.9,,,,
2021-07-07,SF,680.1,,,,
2021-07-06,SF,673.25,,,,
2021-07-05,SF,680.2,,,,
2021-10-04,BR,3892.9,,,,
2021-10-01,BR,3921.1,,,,
2021-09-30,BR,3948.95,,,,
2021-09-29,BR,3972.75,,,,
2021-09-28,BR,4003.65,,,,
2021-09-27,BR,4009.6,,,,
2021-09-24,BR,4042.9,,,,
2021-09-23,BR,4042.35,,,,
2021-09-22,BR,4058.5,,,,
2021-09-21,BR,4075.55,,,,
2021-09-20,BR,4084.5,,,,
2021-09-17,BR,4051.85,,,,
2021-09-16,BR,4073.05,,,,
2021-09-15,BR,4086.35,,,,
2021-09-14,BR,4101.5,,,,
2021-09-13,BR,4093.85,,,,
2021-09-09,BR,4070.8,,,,
2021-09-08,BR,4061.4,,,,
2021-09-07,BR,4095.45,,,,
2021-09-06,BR,4079.05,,,,
2021-09-03,BR,4124.2,,,,
2021-09-02,BR,4086.1,,,,
2021-09-01,BR,4015.35,,,,
2021-08-31,BR,3997.5,,,,
2021-08-30,BR,3986.35,,,,
2021-08-27,BR,3941.55,,,,
2021-08-26,BR,3930.9,,,,
2021-08-25,BR,3842.8,,,,
2021-08-24,BR,3812.2,,,,
2021-08-23,BR,3866.25,,,,
2021-08-20,BR,3895.95,,,,
2021-08-18,BR,3720.75,,,,
2021-08-17,BR,3696.5,,,,
2021-08-16,BR,3655.3,,,,
2021-08-13,BR,3579.55,,,,
2021-08-12,BR,3620.8,,,,
2021-08-11,BR,3625.5,,,,
2021-08-10,BR,3637.2,,,,
2021-08-09,BR,3636.1,,,,
2021-08-06,BR,3604,,,,
2021-08-05,BR,3611.15,,,,
2021-08-04,BR,3578.3,,,,
2021-08-03,BR,3573.2,,,,
2021-08-02,BR,3504.65,,,,
2021-07-30,BR,3423.4,,,,
2021-07-29,BR,3405.6,,,,
2021-07-28,BR,3424.1,,,,
2021-07-27,BR,3450.75,,,,
2021-07-26,BR,3482,,,,
2021-07-23,BR,3439.8,,,,
2021-07-22,BR,3425.3,,,,
2021-07-20,BR,3433.55,,,,
2021-07-19,BR,3450.15,,,,
2021-07-16,BR,3441,,,,
2021-07-15,BR,3460.85,,,,
2021-07-14,BR,3485.75,,,,
2021-07-13,BR,3485.5,,,,
2021-07-12,BR,3470.4,,,,
2021-07-09,BR,3475.95,,,,
2021-07-08,BR,3491.4,,,,
2021-07-07,BR,3521.35,,,,
2021-07-06,BR,3519,,,,
2021-07-05,BR,3523.55,,,,
2021-10-04,TM,1399.05,,,,
2021-10-01,TM,1371.25,,,,
2021-09-30,TM,1380.6,,,,
2021-09-29,TM,1395.35,,,,
2021-09-28,TM,1414.05,,,,
2021-09-27,TM,1464.4,,,,
2021-09-24,TM,1514.75,,,,
2021-09-23,TM,1521.5,,,,
2021-09-22,TM,1513.6,,,,
2021-09-21,TM,1461.7,,,,
2021-09-20,TM,1431.3,,,,
2021-09-17,TM,1451.55,,,,
2021-09-16,TM,1448.35,,,,
2021-09-15,TM,1464.85,,,,
2021-09-14,TM,1452.05,,,,
2021-09-13,TM,1429.5,,,,
2021-09-09,TM,1433.25,,,,
2021-09-08,TM,1427.85,,,,
2021-09-07,TM,1435.2,,,,
2021-09-06,TM,1461.15,,,,
2021-09-03,TM,1441.95,,,,
2021-09-02,TM,1437.8,,,,
2021-09-01,TM,1436.3,,,,
2021-08-31,TM,1447.65,,,,
2021-08-30,TM,1419.2,,,,
2021-08-27,TM,1445.4,,,,
2021-08-26,TM,1449.5,,,,
2021-08-25,TM,1463.1,,,,
2021-08-24,TM,1463.35,,,,
2021-08-23,TM,1416,,,,
2021-08-20,TM,1399.2,,,,
2021-08-18,TM,1412.5,,,,
2021-08-17,TM,1413.7,,,,
2021-08-16,TM,1367.85,,,,
2021-08-13,TM,1383.15,,,,
2021-08-12,TM,1386.55,,,,
2021-08-11,TM,1323.6,,,,
2021-08-10,TM,1323.05,,,,
2021-08-09,TM,1287.45,,,,
2021-08-06,TM,1264.6,,,,
2021-08-05,TM,1248.2,,,,
2021-08-04,TM,1216.5,,,,
2021-08-03,TM,1226.25,,,,
2021-08-02,TM,1210.7,,,,
2021-07-30,TM,1209.55,,,,
2021-07-29,TM,1127.8,,,,
2021-07-28,TM,1119.55,,,,
2021-07-27,TM,1120.85,,,,
2021-07-26,TM,1120.2,,,,
2021-07-23,TM,1131,,,,
2021-07-22,TM,1148.6,,,,
2021-07-20,TM,1087.2,,,,
2021-07-19,TM,1094.2,,,,
2021-07-16,TM,1103.15,,,,
2021-07-15,TM,1112.45,,,,
2021-07-14,TM,1078.5,,,,
2021-07-13,TM,1050.15,,,,
2021-07-12,TM,1056.6,,,,
2021-07-09,TM,1051.75,,,,
2021-07-08,TM,1060.15,,,,
2021-07-07,TM,1045.9,,,,
2021-07-06,TM,1049.55,,,,
2021-07-05,TM,1074.65,,,,
